class template, instantiations, multiple overload instantiations, loc, definition file path, line
QVector, //6, //3, //37, //qtools/qvector.h, //46
BaseHandler, //0, //0, //134, //addon/doxmlparser/src/basehandler.h, //126
QList, //206, //55, //56, //qtools/qlist.h, //46
QIntDict, //16, //9, //34, //qtools/qintdict.h, //46
QIntDictIterator, //4, //3, //15, //qtools/qintdict.h, //85
QListIterator, //130, //38, //22, //qtools/qlist.h, //108
QArray, //25, //5, //60, //qtools/qarray.h, //46
QDict, //90, //34, //35, //qtools/qdict.h, //46
QDictIterator, //27, //13, //15, //qtools/qdict.h, //89
SDict, //41, //5, //130, //src/sortdict.h, //90
QStack, //20, //8, //22, //qtools/qstack.h, //46
QMap, //22, //8, //55, //qtools/qmap.h, //501
QMapConstIterator, //12, //2, //74, //qtools/qmap.h, //185
QMapIterator, //12, //2, //75, //qtools/qmap.h, //86
QMapPrivate, //2, //1, //150, //qtools/qmap.h, //311
SIntDict, //3, //1, //130, //src/sortdict.h, //329
SIntList, //1, //1, //12, //src/sortdict.h, //312
SList, //1, //1, //12, //src/sortdict.h, //73
Test, //5, //3, //10, //examples/templ.cpp, //3
Test, //0, //0, //5, //examples/templ.cpp, //18
CompAccept, //29, //29, //15, //src/docparser.h, //163
BaseFallBackHandler, //0, //0, //34, //addon/doxmlparser/src/basehandler.h, //287
ElementMapper, //4, //1, //59, //addon/doxmlparser/src/basehandler.h, //48
QCache, //6, //2, //30, //qtools/qcache.h, //46
QCacheIterator, //4, //1, //23, //qtools/qcache.h, //79
ValStack, //2, //1, //51, //src/xmlgen.cpp, //171
QQueue, //4, //1, //22, //qtools/qqueue.h, //46
QValueList, //17, //2, //83, //qtools/qvaluelist.h, //307
QValueListConstIterator, //12, //1, //31, //qtools/qvaluelist.h, //119
BaseIteratorVia, //0, //0, //13, //addon/doxmlparser/src/baseiterator.h, //36
QValueListIterator, //12, //1, //31, //qtools/qvaluelist.h, //67
QValueListNode, //6, //1, //12, //qtools/qvaluelist.h, //51
QValueListPrivate, //2, //1, //115, //qtools/qvaluelist.h, //171
BaseIterator, //0, //0, //13, //addon/doxmlparser/src/baseiterator.h, //21
QAsciiDict, //6, //2, //28, //qtools/qasciidict.h, //46
QAsciiDictIterator, //0, //0, //16, //qtools/qasciidict.h, //78
QValueStack, //2, //2, //16, //qtools/qvaluestack.h, //47
QTextOStreamIterator, //4, //1, //19, //qtools/qtl.h, //47
QPtrDict, //7, //2, //34, //qtools/qptrdict.h, //46
QPtrDictIterator, //0, //0, //15, //qtools/qptrdict.h, //86
QSortedList, //4, //1, //11, //qtools/qsortedlist.h, //46
QMapNode, //10, //2, //9, //qtools/qmap.h, //74

function template, instantiations, multiple overload instantiations, loc, definition file path, line
operator<<, //2, //1, //7, //qtools/qmap.h, //597
operator>>, //2, //1, //11, //qtools/qmap.h, //583
qHeapSort, //1, //1, //6, //qtools/qtl.h, //213
operator<<, //4, //1, //8, //qtools/qvaluelist.h, //440
operator>>, //2, //1, //13, //qtools/qvaluelist.h, //425
qBubbleSort, //1, //1, //27, //qtools/qtl.h, //89
qBubbleSort, //1, //1, //4, //qtools/qtl.h, //123
qCopy, //0, //0, //7, //qtools/qtl.h, //70
qHeapSort, //0, //0, //12, //qtools/qtl.h, //192
qHeapSortHelper, //3, //2, //23, //qtools/qtl.h, //161
qHeapSortPushDown, //2, //1, //22, //qtools/qtl.h, //130
qSwap, //9, //1, //6, //qtools/qtl.h, //80

