class template, instantiations, multiple overload instantiations, loc, definition file path, line
generic_dpg, //0, //0, //8, //tapsets.cxx, //60

function template, instantiations, multiple overload instantiations, loc, definition file path, line
lex_cast, //20, //3, //8, //util.h, //30
resolve_2types, //4, //1, //33, //elaborate.cxx, //2175
lex_cast_qstring, //32, //5, //18, //util.h, //58
stringify, //24, //6, //7, //util.h, //21
lex_cast_hex, //0, //0, //9, //util.h, //43
provide, //36, //1, //6, //staptree.h, //869
require, //47, //6, //12, //staptree.h, //830

