class template, instantiations, multiple overload instantiations, loc, definition file path, line
sptr, //93, //16, //18, //sptr.hh, //96
sptr_base, //5, //2, //60, //sptr.hh, //12
const_sptr, //0, //0, //15, //sptr.hh, //129
Aard::BigEndian, //3, //3, //29, //aard.cc, //59

function template, instantiations, multiple overload instantiations, loc, definition file path, line
File::Class::read, //34, //1, //2, //file.hh, //57
File::Class::write, //25, //1, //2, //file.hh, //73
sptr::sptr, //0, //0, //1, //sptr.hh, //106
File::Class::read, //2, //1, //2, //file.hh, //53
arraySize, //0, //0, //1, //langcoder.hh, //209
sptr_base::sptr_base, //0, //0, //3, //sptr.hh, //39
const_sptr::const_sptr, //0, //0, //1, //sptr.hh, //141

